quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
47/2	0.5	7	6	1/8	1/8	4/4	2	1		viio64	V2	E	I		viio64	vii	o	64					o	0	0	-1, 5, 2		5	-1
24	0.5	7	6	1/4	1/4	4/4	2	1		I6{		E	I		I6	I		6				{	M	0	0	4, 1, 0		0	4
49/2	0.5	7	6	3/8	3/8	4/4	2	1		I		E	I		I	I							M	0	0	0, 4, 1		0	0
25	0.5	7	6	1/2	1/2	4/4	2	1		IV		E	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
51/2	0.5	7	6	5/8	5/8	4/4	2	1		ii6		E	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
26	0.5	7	6	3/4	3/4	4/4	2	1		V		E	I		V	V							M	0	0	1, 5, 2		1	1
53/2	0.5	7	6	7/8	7/8	4/4	2	1		iii6		E	I		iii6	iii		6					m	0	0	1, 5, 4		4	1
27	0.5	8	7	0	0	4/4	2	1		vi		E	I		vi	vi							m	0	0	3, 0, 4		3	3
55/2	0.5	8	7	1/8	1/8	4/4	2	1		IV6		E	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
28	0.5	8	7	1/4	1/4	4/4	2	1		V		E	I		V	V							M	0	0	1, 5, 2		1	1
57/2	0.5	8	7	3/8	3/8	4/4	2	1		viio	V65	E	I		viio	vii	o						o	0	0	5, 2, -1		5	5
29	1.0	8	7	1/2	1/2	4/4	2	1		I6		E	I		I6	I		6					M	0	0	4, 1, 0		0	4
30	0.5	8	7	3/4	3/4	4/4	2	1		ii65		E	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
61/2	0.5	8	7	7/8	7/8	4/4	2	1		V		E	I		V	V							M	0	0	1, 5, 2		1	1
		9	8	0	0	4/4	2	1	1	I|PAC}		E	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
31	1.0	10	8	0	0	4/4	2	1	2	I|PAC}		E	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
