mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_line	crescendo_hairpin	decrescendo_hairpin
8	6	23	23	0.16666666666666666		0	0	Chord	4/4	2	1	1/24	1/16	2/3	228										25			
8	6	139/6	139/6	0.16666666666666666		1/24	1/24	Chord	4/4	2	1	1/24	1/16	2/3	229										25			
8	6	70/3	70/3	0.16666666666666666		1/12	1/12	Chord	4/4	2	1	1/24	1/16	2/3	230										25			
8	6	47/2	47/2	0.16666666666666666		1/8	1/8	Chord	4/4	2	1	1/24	1/16	2/3	231										25			
8	6	71/3	71/3	0.16666666666666666		1/6	1/6	Chord	4/4	2	1	1/24	1/16	2/3	232										25			
8	6	143/6	143/6	0.16666666666666666		5/24	5/24	Chord	4/4	2	1	1/24	1/16	2/3	233										25			
8	6	24	24	0.16666666666666666		1/4	1/4	Chord	4/4	2	1	1/24	1/16	2/3	234										25			
8	6	145/6	145/6	0.16666666666666666		7/24	7/24	Chord	4/4	2	1	1/24	1/16	2/3	235										25			
8	6	73/3	73/3	0.16666666666666666		1/3	1/3	Chord	4/4	2	1	1/24	1/16	2/3	236										25			
8	6	49/2	49/2	0.16666666666666666		3/8	3/8	Chord	4/4	2	1	1/24	1/16	2/3	237										25			
8	6	74/3	74/3	0.0		5/12	5/12	Spanner	4/4	2	1	0													25		4	
8	6	74/3	74/3	0.16666666666666666		5/12	5/12	Chord	4/4	2	1	1/24	1/16	2/3	238										25		4	
8	6	149/6	149/6	0.16666666666666666		11/24	11/24	Chord	4/4	2	1	1/24	1/16	2/3	239										25		4	
8	6	25	25	0.16666666666666666		1/2	1/2	Chord	4/4	2	1	1/24	1/16	2/3	240										25		4	
8	6	151/6	151/6	0.0		13/24	13/24	Spanner	4/4	2	1	0													25			
8	6	151/6	151/6	0.16666666666666666		13/24	13/24	Chord	4/4	2	1	1/24	1/16	2/3	241										25			
8	6	76/3	76/3	0.16666666666666666		7/12	7/12	Chord	4/4	2	1	1/24	1/16	2/3	242										25			
8	6	51/2	51/2	0.0		5/8	5/8	Spanner	4/4	2	1	0													25		5	
8	6	51/2	51/2	0.16666666666666666		5/8	5/8	Chord	4/4	2	1	1/24	1/16	2/3	243										25		5	
8	6	77/3	77/3	0.16666666666666666		2/3	2/3	Chord	4/4	2	1	1/24	1/16	2/3	244										25		5	
8	6	155/6	155/6	0.16666666666666666		17/24	17/24	Chord	4/4	2	1	1/24	1/16	2/3	245										25		5	
8	6	26	26	0.0		3/4	3/4	Spanner	4/4	2	1	0													25			
8	6	26	26	0.16666666666666666		3/4	3/4	Chord	4/4	2	1	1/24	1/16	2/3	246										25			
8	6	157/6	157/6	0.16666666666666666		19/24	19/24	Chord	4/4	2	1	1/24	1/16	2/3	247										25			
8	6	79/3	79/3	0.16666666666666666		5/6	5/6	Chord	4/4	2	1	1/24	1/16	2/3	248										25			
8	6	53/2	53/2	0.16666666666666666		7/8	7/8	Chord	4/4	2	1	1/24	1/16	2/3	249										25			
8	6	80/3	80/3	0.0		11/12	11/12	Spanner	4/4	2	1	0													25		6	
8	6	80/3	80/3	0.16666666666666666		11/12	11/12	Chord	4/4	2	1	1/24	1/16	2/3	250										25		6	
8	6	161/6	161/6	0.16666666666666666		23/24	23/24	Chord	4/4	2	1	1/24	1/16	2/3	251										25		6	
9	7	27	27	0.0		0	0	Spanner	4/4	1	1	0																
9	7	27	27	0.5		0	0	Chord	4/4	1	1	1/8	1/8	1	252													
9	7	55/2	55/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	253													
9	7	28	28	0.0		1/4	1/4	Dynamic	4/4	1	1	0				f												
9	7	28	28	0.5		1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	254		articAccentAbove								29			
9	7	57/2	57/2	0.08333333333333333		3/8	3/8	Chord	4/4	1	1	1/48	1/32	2/3	255										29			
9	7	343/12	343/12	0.08333333333333333		19/48	19/48	Chord	4/4	1	1	1/48	1/32	2/3	256										29			
9	7	86/3	86/3	0.08333333333333333		5/12	5/12	Chord	4/4	1	1	1/48	1/32	2/3	257										29			
9	7	115/4	115/4	0.08333333333333333		7/16	7/16	Chord	4/4	1	1	1/48	1/32	2/3	258										29			
9	7	173/6	173/6	0.16666666666666666		11/24	11/24	Chord	4/4	1	1	1/24	1/16	2/3	259										29			
9	7	29	29	0.25		1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	260		articAccentAbove								29			
9	7	117/4	117/4	0.25		9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	261										29			
9	7	59/2	59/2	0.25		5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	262		articStaccatoAbove											
9	7	119/4	119/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	263										30			
9	7	30	30	0.5		3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	264										30			
9	7	61/2	61/2	0.25		7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	265										30			
9	7	123/4	123/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	266													
9	7	27	27	0.5		0	0	Chord	4/4	1	2	1/8	1/8	1	267													
9	7	28	28	1.5		1/4	1/4	Chord	4/4	1	2	3/8	1/4	3/2	268		articAccentBelow											
9	7	59/2	59/2	0.25		5/8	5/8	Chord	4/4	1	2	1/16	1/16	1	269													
9	7	119/4	119/4	0.25		11/16	11/16	Chord	4/4	1	2	1/16	1/16	1	270													
9	7	30	30	0.5		3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	271													
9	7	61/2	61/2	0.5		7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	272													
9	7	27	27	0.0		0	0	Spanner	4/4	2	1	0													25			
9	7	27	27	0.16666666666666666		0	0	Chord	4/4	2	1	1/24	1/16	2/3	273										25			
9	7	163/6	163/6	0.16666666666666666		1/24	1/24	Chord	4/4	2	1	1/24	1/16	2/3	274										25			
9	7	82/3	82/3	0.16666666666666666		1/12	1/12	Chord	4/4	2	1	1/24	1/16	2/3	275													
9	7	55/2	55/2	0.16666666666666666		1/8	1/8	Chord	4/4	2	1	1/24	1/16	2/3	276										31			
9	7	83/3	83/3	0.16666666666666666		1/6	1/6	Chord	4/4	2	1	1/24	1/16	2/3	277										31			
9	7	167/6	167/6	0.16666666666666666		5/24	5/24	Chord	4/4	2	1	1/24	1/16	2/3	278										31			
9	7	28	28	0.16666666666666666		1/4	1/4	Chord	4/4	2	1	1/24	1/16	2/3	279										31			
9	7	169/6	169/6	0.16666666666666666		7/24	7/24	Chord	4/4	2	1	1/24	1/16	2/3	280										31			
9	7	85/3	85/3	0.16666666666666666		1/3	1/3	Chord	4/4	2	1	1/24	1/16	2/3	281										31			
9	7	57/2	57/2	0.16666666666666666		3/8	3/8	Chord	4/4	2	1	1/24	1/16	2/3	282										31			
9	7	86/3	86/3	0.16666666666666666		5/12	5/12	Chord	4/4	2	1	1/24	1/16	2/3	283										31			
9	7	173/6	173/6	0.16666666666666666		11/24	11/24	Chord	4/4	2	1	1/24	1/16	2/3	284										31			
9	7	29	29	0.0		1/2	1/2	StaffText	4/4	2	1	0						marcato.										
9	7	29	29	0.25		1/2	1/2	Chord	4/4	2	1	1/16	1/16	1	285													
9	7	117/4	117/4	0.25		9/16	9/16	Chord	4/4	2	1	1/16	1/16	1	286		articTenutoBelow											
9	7	59/2	59/2	0.25		5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	287		articTenutoBelow											
9	7	119/4	119/4	0.25		11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	288		articTenutoBelow											
9	7	30	30	0.5		3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	289										32			
9	7	61/2	61/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	290													
10	8		31	0.0	1	0	0	Spanner	4/4	1	1	0																0
10	8		31	1.0	1	0	0	Chord	4/4	1	1	1/4	1/4	1	291													0
10	8		32	0.0	1	1/4	1/4	Spanner	4/4	1	1	0																
10	8		32	0.0	1	1/4	1/4	Spanner	4/4	1	1	0															7	
10	8		32	0.5	1	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	292										33		7	
10	8		65/2	0.5	1	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	293		articStaccatoAbove										7	
10	8		32	0.5	1	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	294												7	
10	8		65/2	0.5	1	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	295												7	
10	8		31	0.25	1	0	0	Chord	4/4	2	1	1/16	1/16	1	296										34			
10	8		125/4	0.25	1	1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	297										34			
10	8		63/2	0.25	1	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	298										34			
10	8		127/4	0.25	1	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	299										34			
10	8		32	0.16666666666666666	1	1/4	1/4	Chord	4/4	2	1	1/24	1/16	2/3	300										34			
10	8		193/6	0.16666666666666666	1	7/24	7/24	Chord	4/4	2	1	1/24	1/16	2/3	301										34			
10	8		97/3	0.16666666666666666	1	1/3	1/3	Chord	4/4	2	1	1/24	1/16	2/3	302										34			
10	8		65/2	0.16666666666666666	1	3/8	3/8	Chord	4/4	2	1	1/24	1/16	2/3	303										34			
10	8		98/3	0.16666666666666666	1	5/12	5/12	Chord	4/4	2	1	1/24	1/16	2/3	304										34			
10	8		197/6	0.16666666666666666	1	11/24	11/24	Chord	4/4	2	1	1/24	1/16	2/3	305													
11	8	31	33	0.0	2	0	0	Spanner	4/4	1	1	0																
11	8	31	33	1.0	2	0	0	Chord	4/4	1	1	1/4	1/4	1	306													
11	8	31	33	0.25	2	0	0	Chord	4/4	2	1	1/16	1/16	1	307										35			
11	8	125/4	133/4	0.25	2	1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	308										35			
11	8	63/2	67/2	0.25	2	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	309										35			
11	8	127/4	135/4	0.25	2	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	310													
