mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_line	diminuendo_line	crescendo_hairpin	decrescendo_hairpin
2	1	16/3	16/3	0.16666666666666666		7/12	7/12	Chord	4/4	1	1	1/24	1/16	2/3	37										1	0			
2	1	11/2	11/2	0.16666666666666666		5/8	5/8	Chord	4/4	1	1	1/24	1/16	2/3	38										1	0			
2	1	17/3	17/3	0.16666666666666666		2/3	2/3	Chord	4/4	1	1	1/24	1/16	2/3	39										1	0			
2	1	35/6	35/6	0.16666666666666666		17/24	17/24	Chord	4/4	1	1	1/24	1/16	2/3	40											0			
2	1	6	6	0.0		3/4	3/4	Spanner	4/4	1	1	0																	
2	1	6	6	0.0		3/4	3/4	Spanner	4/4	1	1	0															0		
2	1	6	6	0.16666666666666666		3/4	3/4	Chord	4/4	1	1	1/24	1/16	2/3	41		articAccentAbove								2		0		
2	1	37/6	37/6	0.16666666666666666		19/24	19/24	Chord	4/4	1	1	1/24	1/16	2/3	42										2		0		
2	1	19/3	19/3	0.16666666666666666		5/6	5/6	Chord	4/4	1	1	1/24	1/16	2/3	43										2		0		
2	1	13/2	13/2	0.16666666666666666		7/8	7/8	Chord	4/4	1	1	1/24	1/16	2/3	44										2		0		
2	1	20/3	20/3	0.16666666666666666		11/12	11/12	Chord	4/4	1	1	1/24	1/16	2/3	45										2		0		
2	1	41/6	41/6	0.16666666666666666		23/24	23/24	Chord	4/4	1	1	1/24	1/16	2/3	46										2		0		
2	1	3	3	1.0		0	0	Chord	4/4	2	1	1/4	1/4	1	47		articAccentAbove												
2	1	9/2	9/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	48		articAccentAbove								3				
2	1	5	5	0.5		1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	49										3				
2	1	11/2	11/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	50		articStaccatoAbove												
2	1	6	6	0.5		3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	51		articStaccatoAbove												
2	1	13/2	13/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	52		articStaccatoAbove												
2	1	7/2	7/2	0.5		1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	53		articStaccatoBelow												
2	1	4	4	0.5		1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	54		articStaccatoBelow												
3	2	7	7	0.16666666666666666		0	0	Chord	4/4	1	1	1/24	1/16	2/3	55										2		0		
3	2	43/6	43/6	0.16666666666666666		1/24	1/24	Chord	4/4	1	1	1/24	1/16	2/3	56										2		0		
3	2	22/3	22/3	0.16666666666666666		1/12	1/12	Chord	4/4	1	1	1/24	1/16	2/3	57										2		0		
3	2	15/2	15/2	0.16666666666666666		1/8	1/8	Chord	4/4	1	1	1/24	1/16	2/3	58										2		0		
3	2	23/3	23/3	0.16666666666666666		1/6	1/6	Chord	4/4	1	1	1/24	1/16	2/3	59										2		0		
3	2	47/6	47/6	0.16666666666666666		5/24	5/24	Chord	4/4	1	1	1/24	1/16	2/3	60										2		0		
3	2	8	8	0.0		1/4	1/4	Spanner	4/4	1	1	0													2				
3	2	8	8	0.16666666666666666		1/4	1/4	Chord	4/4	1	1	1/24	1/16	2/3	61										2				
3	2	49/6	49/6	0.16666666666666666		7/24	7/24	Chord	4/4	1	1	1/24	1/16	2/3	62										2				
3	2	25/3	25/3	0.16666666666666666		1/3	1/3	Chord	4/4	1	1	1/24	1/16	2/3	63										2				
3	2	17/2	17/2	0.16666666666666666		3/8	3/8	Chord	4/4	1	1	1/24	1/16	2/3	64										2				
3	2	26/3	26/3	0.16666666666666666		5/12	5/12	Chord	4/4	1	1	1/24	1/16	2/3	65										2				
3	2	53/6	53/6	0.16666666666666666		11/24	11/24	Chord	4/4	1	1	1/24	1/16	2/3	66										2				
3	2	9	9	0.16666666666666666		1/2	1/2	Chord	4/4	1	1	1/24	1/16	2/3	67										2				
3	2	55/6	55/6	0.16666666666666666		13/24	13/24	Chord	4/4	1	1	1/24	1/16	2/3	68										2				
3	2	28/3	28/3	0.16666666666666666		7/12	7/12	Chord	4/4	1	1	1/24	1/16	2/3	69														
3	2	29/3	29/3	0.16666666666666666		2/3	2/3	Chord	4/4	1	1	1/24	1/16	2/3	70										4				
3	2	59/6	59/6	0.16666666666666666		17/24	17/24	Chord	4/4	1	1	1/24	1/16	2/3	71										4				
3	2	10	10	0.16666666666666666		3/4	3/4	Chord	4/4	1	1	1/24	1/16	2/3	72										4				
3	2	61/6	61/6	0.16666666666666666		19/24	19/24	Chord	4/4	1	1	1/24	1/16	2/3	73										4				
3	2	31/3	31/3	0.16666666666666666		5/6	5/6	Chord	4/4	1	1	1/24	1/16	2/3	74										4				
3	2	21/2	21/2	0.16666666666666666		7/8	7/8	Chord	4/4	1	1	1/24	1/16	2/3	75										4				
3	2	32/3	32/3	0.16666666666666666		11/12	11/12	Chord	4/4	1	1	1/24	1/16	2/3	76										4				
3	2	65/6	65/6	0.16666666666666666		23/24	23/24	Chord	4/4	1	1	1/24	1/16	2/3	77										4				
3	2	7	7	0.0		0	0	StaffText	4/4	2	1	0						ten.											
3	2	15/2	15/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	78		articStaccatoAbove												
3	2	8	8	0.0		1/4	1/4	StaffText	4/4	2	1	0						ten.											
3	2	17/2	17/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	79		articStaccatoAbove												
3	2	9	9	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	80		articAccentAbove												
3	2	10	10	0.0		3/4	3/4	StaffText	4/4	2	1	0						ten.											
3	2	21/2	21/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	81		articStaccatoAbove												
3	2	7	7	1.0		0	0	Chord	4/4	2	2	1/4	1/4	1	82														
3	2	8	8	1.0		1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	83														
3	2	19/2	19/2	0.5		5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	84		articStaccatoBelow												
3	2	10	10	1.0		3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	85														
4	3	11	11	0.16666666666666666		0	0	Chord	4/4	1	1	1/24	1/16	2/3	86										4				
4	3	67/6	67/6	0.16666666666666666		1/24	1/24	Chord	4/4	1	1	1/24	1/16	2/3	87										4				
4	3	34/3	34/3	0.16666666666666666		1/12	1/12	Chord	4/4	1	1	1/24	1/16	2/3	88														
4	3	35/3	35/3	0.16666666666666666		1/6	1/6	Chord	4/4	1	1	1/24	1/16	2/3	89										5				
4	3	71/6	71/6	0.16666666666666666		5/24	5/24	Chord	4/4	1	1	1/24	1/16	2/3	90										5				
4	3	12	12	0.16666666666666666		1/4	1/4	Chord	4/4	1	1	1/24	1/16	2/3	91										5				
4	3	73/6	73/6	0.16666666666666666		7/24	7/24	Chord	4/4	1	1	1/24	1/16	2/3	92										5				
4	3	37/3	37/3	0.16666666666666666		1/3	1/3	Chord	4/4	1	1	1/24	1/16	2/3	93										5				
4	3	25/2	25/2	0.16666666666666666		3/8	3/8	Chord	4/4	1	1	1/24	1/16	2/3	94										5				
4	3	38/3	38/3	0.16666666666666666		5/12	5/12	Chord	4/4	1	1	1/24	1/16	2/3	95										5				
4	3	77/6	77/6	0.16666666666666666		11/24	11/24	Chord	4/4	1	1	1/24	1/16	2/3	96										5				
4	3	13	13	0.16666666666666666		1/2	1/2	Chord	4/4	1	1	1/24	1/16	2/3	97										5				
4	3	79/6	79/6	0.16666666666666666		13/24	13/24	Chord	4/4	1	1	1/24	1/16	2/3	98										5				
4	3	40/3	40/3	0.16666666666666666		7/12	7/12	Chord	4/4	1	1	1/24	1/16	2/3	99										5				
4	3	27/2	27/2	0.16666666666666666		5/8	5/8	Chord	4/4	1	1	1/24	1/16	2/3	100										5				
4	3	41/3	41/3	0.16666666666666666		2/3	2/3	Chord	4/4	1	1	1/24	1/16	2/3	101										5				
4	3	83/6	83/6	0.16666666666666666		17/24	17/24	Chord	4/4	1	1	1/24	1/16	2/3	102										5				
4	3	14	14	0.16666666666666666		3/4	3/4	Chord	4/4	1	1	1/24	1/16	2/3	103										5				
4	3	85/6	85/6	0.16666666666666666		19/24	19/24	Chord	4/4	1	1	1/24	1/16	2/3	104										5				
4	3	43/3	43/3	0.16666666666666666		5/6	5/6	Chord	4/4	1	1	1/24	1/16	2/3	105										5				
4	3	29/2	29/2	0.16666666666666666		7/8	7/8	Chord	4/4	1	1	1/24	1/16	2/3	106										5				
4	3	44/3	44/3	0.16666666666666666		11/12	11/12	Chord	4/4	1	1	1/24	1/16	2/3	107										5				
4	3	89/6	89/6	0.16666666666666666		23/24	23/24	Chord	4/4	1	1	1/24	1/16	2/3	108										5				
4	3	11	11	1.0		0	0	Chord	4/4	2	1	1/4	1/4	1	109		articAccentAbove												
4	3	25/2	25/2	1.0		3/8	3/8	Chord	4/4	2	1	1/4	1/4	1	110										6				
4	3	27/2	27/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	111														
4	3	14	14	0.5		3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	112		articStaccatoAbove												
4	3	29/2	29/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	113		articStaccatoAbove												
4	3	23/2	23/2	0.5		1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	114		articStaccatoBelow												
4	3	12	12	0.5		1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	115		articStaccatoBelow												
5	4	15	15	0.16666666666666666		0	0	Chord	4/4	1	1	1/24	1/16	2/3	116										5				
5	4	91/6	91/6	0.16666666666666666		1/24	1/24	Chord	4/4	1	1	1/24	1/16	2/3	117										5				
5	4	46/3	46/3	0.16666666666666666		1/12	1/12	Chord	4/4	1	1	1/24	1/16	2/3	118										5				
5	4	31/2	31/2	0.16666666666666666		1/8	1/8	Chord	4/4	1	1	1/24	1/16	2/3	119		articStaccatoBelow												
5	4	47/3	47/3	0.16666666666666666		1/6	1/6	Chord	4/4	1	1	1/24	1/16	2/3	120										7				
5	4	95/6	95/6	0.16666666666666666		5/24	5/24	Chord	4/4	1	1	1/24	1/16	2/3	121										7				
5	4	16	16	0.16666666666666666		1/4	1/4	Chord	4/4	1	1	1/24	1/16	2/3	122										7				
5	4	97/6	97/6	0.16666666666666666		7/24	7/24	Chord	4/4	1	1	1/24	1/16	2/3	123										7				
5	4	49/3	49/3	0.16666666666666666		1/3	1/3	Chord	4/4	1	1	1/24	1/16	2/3	124										7				
5	4	33/2	33/2	0.16666666666666666		3/8	3/8	Chord	4/4	1	1	1/24	1/16	2/3	125														
5	4	50/3	50/3	0.16666666666666666		5/12	5/12	Chord	4/4	1	1	1/24	1/16	2/3	126										8				
5	4	101/6	101/6	0.16666666666666666		11/24	11/24	Chord	4/4	1	1	1/24	1/16	2/3	127										8				
5	4	17	17	0.16666666666666666		1/2	1/2	Chord	4/4	1	1	1/24	1/16	2/3	128										8				
5	4	103/6	103/6	0.0		13/24	13/24	Spanner	4/4	1	1	0													8				0
5	4	103/6	103/6	0.16666666666666666		13/24	13/24	Chord	4/4	1	1	1/24	1/16	2/3	129										8				0
5	4	52/3	52/3	0.16666666666666666		7/12	7/12	Chord	4/4	1	1	1/24	1/16	2/3	130										8				0
5	4	35/2	35/2	0.16666666666666666		5/8	5/8	Chord	4/4	1	1	1/24	1/16	2/3	131										8				0
5	4	53/3	53/3	0.16666666666666666		2/3	2/3	Chord	4/4	1	1	1/24	1/16	2/3	132										8				0
5	4	107/6	107/6	0.16666666666666666		17/24	17/24	Chord	4/4	1	1	1/24	1/16	2/3	133										8				0
5	4	18	18	0.0		3/4	3/4	Spanner	4/4	1	1	0													8				
5	4	18	18	0.16666666666666666		3/4	3/4	Chord	4/4	1	1	1/24	1/16	2/3	134										8				
5	4	109/6	109/6	0.16666666666666666		19/24	19/24	Chord	4/4	1	1	1/24	1/16	2/3	135										8				
5	4	55/3	55/3	0.16666666666666666		5/6	5/6	Chord	4/4	1	1	1/24	1/16	2/3	136														
5	4	56/3	56/3	0.16666666666666666		11/12	11/12	Chord	4/4	1	1	1/24	1/16	2/3	137										9				
5	4	113/6	113/6	0.16666666666666666		23/24	23/24	Chord	4/4	1	1	1/24	1/16	2/3	138										9				
5	4	31/2	31/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	139		articStaccatoAbove												
5	4	16	16	0.0		1/4	1/4	StaffText	4/4	2	1	0						ten.											
5	4	33/2	33/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	140		articStaccatoAbove												
5	4	17	17	0.0		1/2	1/2	StaffText	4/4	2	1	0						ten.											
5	4	35/2	35/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	141		articStaccatoAbove												
5	4	18	18	1.0		3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	142		articAccentAbove												
5	4	15	15	1.0		0	0	Chord	4/4	2	2	1/4	1/4	1	143														
5	4	16	16	1.0		1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	144														
5	4	17	17	1.0		1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	145														
5	4	37/2	37/2	0.5		7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	146		articStaccatoAbove												
6	5	19	19	0.0		0	0	Spanner	4/4	1	1	0													9				1
6	5	19	19	0.16666666666666666		0	0	Chord	4/4	1	1	1/24	1/16	2/3	147										9				1
6	5	115/6	115/6	0.16666666666666666		1/24	1/24	Chord	4/4	1	1	1/24	1/16	2/3	148										9				1
6	5	58/3	58/3	0.16666666666666666		1/12	1/12	Chord	4/4	1	1	1/24	1/16	2/3	149										9				1
6	5	39/2	39/2	0.16666666666666666		1/8	1/8	Chord	4/4	1	1	1/24	1/16	2/3	150										9				1
6	5	59/3	59/3	0.16666666666666666		1/6	1/6	Chord	4/4	1	1	1/24	1/16	2/3	151										9				1
6	5	119/6	119/6	0.16666666666666666		5/24	5/24	Chord	4/4	1	1	1/24	1/16	2/3	152										9				1
6	5	20	20	0.0		1/4	1/4	Spanner	4/4	1	1	0													9				
6	5	20	20	0.16666666666666666		1/4	1/4	Chord	4/4	1	1	1/24	1/16	2/3	153										9				
6	5	121/6	121/6	0.0		7/24	7/24	Spanner	4/4	1	1	0													9			2	
6	5	121/6	121/6	0.16666666666666666		7/24	7/24	Chord	4/4	1	1	1/24	1/16	2/3	154										9			2	
6	5	61/3	61/3	0.16666666666666666		1/3	1/3	Chord	4/4	1	1	1/24	1/16	2/3	155										9			2	
6	5	41/2	41/2	0.16666666666666666		3/8	3/8	Chord	4/4	1	1	1/24	1/16	2/3	156										9			2	
6	5	62/3	62/3	0.16666666666666666		5/12	5/12	Chord	4/4	1	1	1/24	1/16	2/3	157										9			2	
6	5	125/6	125/6	0.16666666666666666		11/24	11/24	Chord	4/4	1	1	1/24	1/16	2/3	158													2	
6	5	21	21	0.0		1/2	1/2	Spanner	4/4	1	1	0																	
6	5	21	21	0.16666666666666666		1/2	1/2	Chord	4/4	1	1	1/24	1/16	2/3	159										10				
6	5	127/6	127/6	0.16666666666666666		13/24	13/24	Chord	4/4	1	1	1/24	1/16	2/3	160										10				
6	5	64/3	64/3	0.16666666666666666		7/12	7/12	Chord	4/4	1	1	1/24	1/16	2/3	161										10				
6	5	43/2	43/2	0.16666666666666666		5/8	5/8	Chord	4/4	1	1	1/24	1/16	2/3	162										10				
6	5	65/3	65/3	0.16666666666666666		2/3	2/3	Chord	4/4	1	1	1/24	1/16	2/3	163										10				
6	5	131/6	131/6	0.16666666666666666		17/24	17/24	Chord	4/4	1	1	1/24	1/16	2/3	164										10				
6	5	22	22	0.16666666666666666		3/4	3/4	Chord	4/4	1	1	1/24	1/16	2/3	165										10				
6	5	133/6	133/6	0.16666666666666666		19/24	19/24	Chord	4/4	1	1	1/24	1/16	2/3	166										10				
6	5	67/3	67/3	0.16666666666666666		5/6	5/6	Chord	4/4	1	1	1/24	1/16	2/3	167										10				
6	5	45/2	45/2	0.16666666666666666		7/8	7/8	Chord	4/4	1	1	1/24	1/16	2/3	168										10				
6	5	68/3	68/3	0.16666666666666666		11/12	11/12	Chord	4/4	1	1	1/24	1/16	2/3	169										10				
6	5	137/6	137/6	0.16666666666666666		23/24	23/24	Chord	4/4	1	1	1/24	1/16	2/3	170										10				
6	5	19	19	0.0		0	0	StaffText	4/4	2	1	0						ten.											
6	5	39/2	39/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	171		articStaccatoAbove												
6	5	20	20	1.5		1/4	1/4	Chord	4/4	2	1	3/8	1/4	3/2	172		articAccentAbove								11				
6	5	21	21	0.0		1/2	1/2	StaffText	4/4	2	1	0						ten.							11				
6	5	43/2	43/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	173														
6	5	22	22	0.0		3/4	3/4	StaffText	4/4	2	1	0						leggiero.											
6	5	22	22	0.5		3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	174		articStaccatoAbove												
6	5	45/2	45/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	175		articStaccatoAbove												
6	5	19	19	1.0		0	0	Chord	4/4	2	2	1/4	1/4	1	176														
6	5	41/2	41/2	0.5		3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	177		articStaccatoBelow												
6	5	21	21	1.0		1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	178														
7	6	23	23	0.16666666666666666		0	0	Chord	4/4	1	1	1/24	1/16	2/3	179										10				
7	6	139/6	139/6	0.16666666666666666		1/24	1/24	Chord	4/4	1	1	1/24	1/16	2/3	180										10				
7	6	70/3	70/3	0.16666666666666666		1/12	1/12	Chord	4/4	1	1	1/24	1/16	2/3	181										10				
7	6	47/2	47/2	0.16666666666666666		1/8	1/8	Chord	4/4	1	1	1/24	1/16	2/3	182										10				
7	6	71/3	71/3	0.16666666666666666		1/6	1/6	Chord	4/4	1	1	1/24	1/16	2/3	183										10				
7	6	143/6	143/6	0.16666666666666666		5/24	5/24	Chord	4/4	1	1	1/24	1/16	2/3	184														
7	6	24	24	0.16666666666666666		1/4	1/4	Chord	4/4	1	1	1/24	1/16	2/3	185										12				
7	6	145/6	145/6	0.16666666666666666		7/24	7/24	Chord	4/4	1	1	1/24	1/16	2/3	186										12				
7	6	73/3	73/3	0.16666666666666666		1/3	1/3	Chord	4/4	1	1	1/24	1/16	2/3	187										12				
7	6	49/2	49/2	0.16666666666666666		3/8	3/8	Chord	4/4	1	1	1/24	1/16	2/3	188										12				
7	6	74/3	74/3	0.16666666666666666		5/12	5/12	Chord	4/4	1	1	1/24	1/16	2/3	189										12				
7	6	149/6	149/6	0.16666666666666666		11/24	11/24	Chord	4/4	1	1	1/24	1/16	2/3	190										12				
7	6	25	25	0.16666666666666666		1/2	1/2	Chord	4/4	1	1	1/24	1/16	2/3	191										12				
7	6	151/6	151/6	0.16666666666666666		13/24	13/24	Chord	4/4	1	1	1/24	1/16	2/3	192										12				
7	6	76/3	76/3	0.16666666666666666		7/12	7/12	Chord	4/4	1	1	1/24	1/16	2/3	193										12				
7	6	51/2	51/2	0.16666666666666666		5/8	5/8	Chord	4/4	1	1	1/24	1/16	2/3	194										12				
7	6	77/3	77/3	0.16666666666666666		2/3	2/3	Chord	4/4	1	1	1/24	1/16	2/3	195										12				
7	6	155/6	155/6	0.16666666666666666		17/24	17/24	Chord	4/4	1	1	1/24	1/16	2/3	196										12				
7	6	26	26	0.0		3/4	3/4	Spanner	4/4	1	1	0													12	1			
7	6	26	26	0.16666666666666666		3/4	3/4	Chord	4/4	1	1	1/24	1/16	2/3	197										12	1			
7	6	157/6	157/6	0.16666666666666666		19/24	19/24	Chord	4/4	1	1	1/24	1/16	2/3	198										12	1			
7	6	79/3	79/3	0.16666666666666666		5/6	5/6	Chord	4/4	1	1	1/24	1/16	2/3	199										12	1			
7	6	53/2	53/2	0.16666666666666666		7/8	7/8	Chord	4/4	1	1	1/24	1/16	2/3	200										12	1			
7	6	80/3	80/3	0.16666666666666666		11/12	11/12	Chord	4/4	1	1	1/24	1/16	2/3	201										12	1			
7	6	161/6	161/6	0.16666666666666666		23/24	23/24	Chord	4/4	1	1	1/24	1/16	2/3	202										12	1			
7	6	23	23	0.5		0	0	Chord	4/4	2	1	1/8	1/8	1	203		articStaccatoAbove												
7	6	47/2	47/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	204		articStaccatoAbove												
7	6	24	24	0.5		1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	205		articStaccatoAbove												
7	6	49/2	49/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	206		articStaccatoAbove												
7	6	25	25	0.0		1/2	1/2	StaffText	4/4	2	1	0						ten.											
7	6	51/2	51/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	207		articStaccatoAbove												
7	6	26	26	0.0		3/4	3/4	StaffText	4/4	2	1	0						ten.											
7	6	53/2	53/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	208		articStaccatoAbove												
7	6	25	25	1.0		1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	209														
7	6	26	26	1.0		3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	210														
8	7	27	27	0.0		0	0	Spanner	4/4	1	1	0													12	1		3	
8	7	27	27	0.16666666666666666		0	0	Chord	4/4	1	1	1/24	1/16	2/3	211										12	1		3	
8	7	163/6	163/6	0.16666666666666666		1/24	1/24	Chord	4/4	1	1	1/24	1/16	2/3	212										12	1		3	
8	7	82/3	82/3	0.16666666666666666		1/12	1/12	Chord	4/4	1	1	1/24	1/16	2/3	213										12	1		3	
8	7	55/2	55/2	0.16666666666666666		1/8	1/8	Chord	4/4	1	1	1/24	1/16	2/3	214										12	1		3	
8	7	83/3	83/3	0.16666666666666666		1/6	1/6	Chord	4/4	1	1	1/24	1/16	2/3	215										12	1		3	
8	7	167/6	167/6	0.16666666666666666		5/24	5/24	Chord	4/4	1	1	1/24	1/16	2/3	216										12	1		3	
8	7	28	28	0.16666666666666666		1/4	1/4	Chord	4/4	1	1	1/24	1/16	2/3	217										12	1		3	
